,Participant_ID,Trial,TargetPos,StimulusPos,Head_Position,Head_Rotation,Real2VirtHandDiff,ProprioceptiveVal,Target2StimDiff,Response,Answer,pRealHandAhead,JND,Bias,Experiment,RealHandPos,StartZone
118,vis_aa8e59e8aa,1,0.532,0.432,-0.2,358.32,0.632,-0.1,0.10000000000000003, 2nd,2.0,0.6425670976096947,55.951194582081115,9.363540015858687,Vis,,
119,vis_aa8e59e8aa,1,0.332,0.307,-0.208,359.064,0.515,-0.025,0.025000000000000022, 1st,2.0,0.6425670976096947,51.171767006364526,-10.352118347254182,Vis,,
120,vis_aa8e59e8aa,1,0.132,0.182,-0.205,0.134,0.387,0.05,0.04999999999999999, 2nd,0.0,0.0,51.7269643436896,35.649191801267435,Vis,,
121,vis_aa8e59e8aa,1,0.532,0.507,-0.186,358.32,0.6930000000000001,-0.025,0.025000000000000022, 1st,2.0,0.6425670976096947,55.951194582081115,9.363540015858687,Vis,,
122,vis_aa8e59e8aa,1,0.532,0.557,-0.188,359.715,0.7450000000000001,0.025,0.025000000000000022, 2nd,0.0,0.0,55.951194582081115,9.363540015858687,Vis,,
123,vis_aa8e59e8aa,1,0.532,0.632,-0.195,359.032,0.827,0.1,0.09999999999999998, 2nd,0.0,0.0,55.951194582081115,9.363540015858687,Vis,,
124,vis_aa8e59e8aa,1,0.132,0.107,-0.184,359.963,0.291,-0.025,0.02500000000000001, 2nd,2.0,0.6425670976096947,51.7269643436896,35.649191801267435,Vis,,
125,vis_aa8e59e8aa,1,0.532,0.582,-0.191,359.668,0.7729999999999999,0.05,0.04999999999999993, 2nd,0.0,0.6666666666666666,55.951194582081115,9.363540015858687,Vis,,
126,vis_aa8e59e8aa,1,0.132,0.232,-0.202,359.814,0.43400000000000005,0.1,0.1, 2nd,0.0,0.5,51.7269643436896,35.649191801267435,Vis,,
127,vis_aa8e59e8aa,2,0.332,0.357,-0.188,0.728,0.5449999999999999,0.025,0.024999999999999967, 2nd,0.0,0.5,51.171767006364526,-10.352118347254182,Vis,,
128,vis_43189ce63c,0,0.332,0.307,-0.489,358.481,0.796,-0.025,0.025000000000000022, 2nd,2.0,0.6425670976096947,46.59409990999375,-16.026617875634265,Vis,,
129,vis_43189ce63c,1,0.332,0.307,-0.515,357.321,0.8220000000000001,-0.1,0.025000000000000022, 2nd,2.0,0.6425670976096947,46.59409990999375,-16.026617875634265,Vis,,
130,vis_43189ce63c,2,0.332,0.382,-0.483,0.503,0.865,0.05,0.04999999999999999, 1st,1.0,1.0,46.59409990999375,-16.026617875634265,Vis,,
131,vis_43189ce63c,3,0.132,0.107,-0.478,0.557,0.585,-0.025,0.02500000000000001, 2nd,2.0,0.6425670976096947,41.45765081897881,2.9239182672820614,Vis,,
132,vis_43189ce63c,4,0.532,0.532,-0.48,0.534,1.012,0.0,0.0, 1st,0.0,0.0,-18.338536667994028,0.3991367972336688,Vis,,
133,vis_43189ce63c,5,0.532,0.432,-0.48,359.548,0.9119999999999999,-0.1,0.10000000000000003, 2nd,2.0,0.6425670976096947,-18.338536667994028,0.3991367972336688,Vis,,
134,vis_43189ce63c,6,0.532,0.557,-0.48,0.589,1.037,0.025,0.025000000000000022, 1st,1.0,1.0,-18.338536667994028,0.3991367972336688,Vis,,
135,vis_43189ce63c,7,0.132,0.082,-0.469,0.003,0.5509999999999999,-0.05,0.05, 2nd,2.0,0.6425670976096947,41.45765081897881,2.9239182672820614,Vis,,
136,vis_43189ce63c,8,0.332,0.382,-0.476,1.058,0.858,0.05,0.04999999999999999, 1st,1.0,1.0,46.59409990999375,-16.026617875634265,Vis,,
137,vis_43189ce63c,9,0.332,0.282,-0.476,359.648,0.758,-0.05,0.050000000000000044, 2nd,2.0,0.6425670976096947,46.59409990999375,-16.026617875634265,Vis,,
138,vis_43189ce63c,1,0.532,0.482,-0.481,359.237,0.963,-0.05,0.050000000000000044, 2nd,2.0,0.6425670976096947,-18.338536667994028,0.3991367972336688,Vis,,
139,vis_43189ce63c,1,0.532,0.582,-0.476,0.803,1.0579999999999998,0.05,0.04999999999999993, 1st,1.0,1.0,-18.338536667994028,0.3991367972336688,Vis,,
140,vis_43189ce63c,1,0.132,0.157,-0.47,359.945,0.627,0.025,0.024999999999999994, 2nd,0.0,0.5,41.45765081897881,2.9239182672820614,Vis,,
141,vis_43189ce63c,1,0.332,0.232,-0.471,359.408,0.703,-0.1,0.1, 1st,2.0,0.6425670976096947,46.59409990999375,-16.026617875634265,Vis,,
142,vis_43189ce63c,1,0.132,0.232,-0.491,359.451,0.723,0.1,0.1, 1st,1.0,1.0,41.45765081897881,2.9239182672820614,Vis,,
143,vis_43189ce63c,1,0.332,0.332,-0.468,358.8,0.8,0.0,0.0, 2nd,0.0,0.0,46.59409990999375,-16.026617875634265,Vis,,
144,vis_43189ce63c,1,0.532,0.632,-0.47,359.919,1.1019999999999999,0.1,0.09999999999999998, 1st,1.0,1.0,-18.338536667994028,0.3991367972336688,Vis,,
145,vis_43189ce63c,1,0.532,0.507,-0.475,358.749,0.982,-0.025,0.025000000000000022, 2nd,2.0,0.6425670976096947,-18.338536667994028,0.3991367972336688,Vis,,
146,vis_43189ce63c,1,0.132,0.132,-0.47,359.636,0.602,0.0,0.0, 2nd,0.0,0.0,41.45765081897881,2.9239182672820614,Vis,,
147,vis_43189ce63c,1,0.132,0.157,-0.471,359.926,0.628,0.025,0.024999999999999994, 1st,1.0,0.5,41.45765081897881,2.9239182672820614,Vis,,
148,vis_43189ce63c,2,0.132,0.232,-0.467,358.852,0.6990000000000001,0.1,0.1, 1st,1.0,1.0,41.45765081897881,2.9239182672820614,Vis,,
149,vis_aa8e59e8aa,0,0.332,0.332,-0.208,0.001,0.54,0.0,0.0, 2nd,0.0,0.0,51.171767006364526,-10.352118347254182,Vis,,
150,vis_aa8e59e8aa,1,0.332,0.332,-0.203,1.154,0.535,0.025,0.0, 2nd,2.0,0.5,51.171767006364526,-10.352118347254182,Vis,,
151,vis_aa8e59e8aa,2,0.132,0.157,-0.212,359.21,0.369,0.025,0.024999999999999994, 2nd,0.0,0.0,51.7269643436896,35.649191801267435,Vis,,
152,vis_aa8e59e8aa,3,0.132,0.182,-0.192,1.221,0.374,0.05,0.04999999999999999, 2nd,0.0,0.0,51.7269643436896,35.649191801267435,Vis,,
153,vis_aa8e59e8aa,5,0.332,0.307,-0.184,0.937,0.491,-0.025,0.025000000000000022, 2nd,2.0,0.6425670976096947,51.171767006364526,-10.352118347254182,Vis,,
154,vis_aa8e59e8aa,6,0.532,0.582,-0.202,0.965,0.784,0.05,0.04999999999999993, 1st,1.0,0.6666666666666666,55.951194582081115,9.363540015858687,Vis,,
155,vis_aa8e59e8aa,7,0.332,0.382,-0.174,0.76,0.556,0.05,0.04999999999999999, 2nd,0.0,0.3333333333333333,51.171767006364526,-10.352118347254182,Vis,,
156,vis_aa8e59e8aa,8,0.332,0.332,-0.206,0.472,0.538,0.0,0.0, 2nd,0.0,0.0,51.171767006364526,-10.352118347254182,Vis,,
157,vis_aa8e59e8aa,9,0.532,0.482,-0.192,0.379,0.6739999999999999,-0.05,0.050000000000000044, 2nd,2.0,0.6425670976096947,55.951194582081115,9.363540015858687,Vis,,
158,vis_aa8e59e8aa,1,0.332,0.432,-0.193,2.189,0.625,0.1,0.09999999999999998, 2nd,0.0,0.0,51.171767006364526,-10.352118347254182,Vis,,
159,vis_aa8e59e8aa,1,0.132,0.032,-0.169,0.538,0.201,-0.1,0.1, 2nd,2.0,0.6425670976096947,51.7269643436896,35.649191801267435,Vis,,
160,vis_aa8e59e8aa,1,0.532,0.632,-0.199,359.298,0.831,0.1,0.09999999999999998, 2nd,0.0,0.0,55.951194582081115,9.363540015858687,Vis,,
161,vis_aa8e59e8aa,1,0.532,0.432,-0.186,1.259,0.618,-0.1,0.10000000000000003, 2nd,2.0,0.6425670976096947,55.951194582081115,9.363540015858687,Vis,,
162,vis_aa8e59e8aa,1,0.532,0.632,-0.198,1.758,0.8300000000000001,0.1,0.09999999999999998, 2nd,0.0,0.0,55.951194582081115,9.363540015858687,Vis,,
163,vis_aa8e59e8aa,1,0.532,0.507,-0.186,3.093,0.6930000000000001,-0.025,0.025000000000000022, 2nd,2.0,0.6425670976096947,55.951194582081115,9.363540015858687,Vis,,
164,vis_aa8e59e8aa,1,0.132,0.132,-0.184,3.627,0.316,0.0,0.0, 2nd,0.0,0.0,51.7269643436896,35.649191801267435,Vis,,
165,vis_aa8e59e8aa,1,0.332,0.232,-0.199,2.428,0.43100000000000005,-0.1,0.1, 2nd,2.0,0.6425670976096947,51.171767006364526,-10.352118347254182,Vis,,
166,vis_aa8e59e8aa,1,0.532,0.507,-0.2,359.584,0.7070000000000001,-0.025,0.025000000000000022, 2nd,2.0,0.6425670976096947,55.951194582081115,9.363540015858687,Vis,,
167,vis_aa8e59e8aa,1,0.332,0.357,-0.194,1.392,0.5509999999999999,0.025,0.024999999999999967, 2nd,0.0,0.5,51.171767006364526,-10.352118347254182,Vis,,
168,vis_aa8e59e8aa,2,0.132,0.082,-0.191,358.99,0.273,-0.05,0.05, 1st,2.0,0.6425670976096947,51.7269643436896,35.649191801267435,Vis,,
169,vis_83ea3b75be,0,0.332,0.332,-0.215,0.374,0.547,0.0,0.0, 1st,0.0,0.0,28.816280497293793,-19.712877126324425,Vis,,
170,vis_83ea3b75be,1,0.332,0.357,-0.242,0.703,0.599,0.025,0.024999999999999967, 1st,1.0,0.5,28.816280497293793,-19.712877126324425,Vis,,
171,vis_83ea3b75be,2,0.132,0.157,-0.241,359.632,0.398,0.025,0.024999999999999994, 1st,1.0,0.5,15.43468489367635,-22.86857426338333,Vis,,
172,vis_83ea3b75be,3,0.132,0.032,-0.251,1.598,0.28300000000000003,-0.1,0.1, 2nd,2.0,0.6425670976096947,15.43468489367635,-22.86857426338333,Vis,,
173,vis_83ea3b75be,4,0.532,0.582,-0.245,355.953,0.827,0.05,0.04999999999999993, 1st,1.0,1.0,-34.90420001177668,8.589641249040811,Vis,,
174,vis_83ea3b75be,5,0.532,0.532,-0.228,3.813,0.76,0.0,0.0, 1st,0.0,0.0,-34.90420001177668,8.589641249040811,Vis,,
175,vis_83ea3b75be,6,0.532,0.432,-0.253,358.114,0.685,-0.1,0.10000000000000003, 2nd,2.0,0.6425670976096947,-34.90420001177668,8.589641249040811,Vis,,
176,vis_83ea3b75be,7,0.332,0.432,-0.25,353.276,0.6819999999999999,0.1,0.09999999999999998, 1st,1.0,1.0,28.816280497293793,-19.712877126324425,Vis,,
177,vis_83ea3b75be,8,0.332,0.382,-0.254,358.081,0.636,0.05,0.04999999999999999, 1st,1.0,1.0,28.816280497293793,-19.712877126324425,Vis,,
178,vis_83ea3b75be,9,0.132,0.107,-0.247,353.153,0.354,-0.025,0.02500000000000001, 2nd,2.0,0.6425670976096947,15.43468489367635,-22.86857426338333,Vis,,
179,vis_83ea3b75be,1,0.532,0.632,-0.195,351.439,0.827,0.1,0.09999999999999998, 1st,1.0,1.0,-34.90420001177668,8.589641249040811,Vis,,
180,vis_83ea3b75be,1,0.532,0.507,-0.196,0.243,0.7030000000000001,-0.025,0.025000000000000022, 2nd,2.0,0.6425670976096947,-34.90420001177668,8.589641249040811,Vis,,
181,vis_83ea3b75be,1,0.132,0.132,-0.23,355.327,0.362,0.0,0.0, 2nd,0.0,0.0,15.43468489367635,-22.86857426338333,Vis,,
182,vis_83ea3b75be,1,0.532,0.557,-0.217,357.807,0.774,0.025,0.025000000000000022, 1st,1.0,1.0,-34.90420001177668,8.589641249040811,Vis,,
183,vis_83ea3b75be,1,0.132,0.182,-0.215,351.359,0.397,0.05,0.04999999999999999, 1st,1.0,1.0,15.43468489367635,-22.86857426338333,Vis,,
184,vis_83ea3b75be,1,0.132,0.232,-0.229,358.479,0.461,0.1,0.1, 1st,1.0,1.0,15.43468489367635,-22.86857426338333,Vis,,
185,vis_83ea3b75be,1,0.332,0.232,-0.263,2.667,0.495,-0.1,0.1, 2nd,2.0,0.6425670976096947,28.816280497293793,-19.712877126324425,Vis,,
186,vis_83ea3b75be,1,0.132,0.082,-0.249,359.499,0.331,-0.05,0.05, 2nd,2.0,0.6425670976096947,15.43468489367635,-22.86857426338333,Vis,,
187,vis_83ea3b75be,1,0.332,0.307,-0.256,358.846,0.563,-0.025,0.025000000000000022, 2nd,2.0,0.6425670976096947,28.816280497293793,-19.712877126324425,Vis,,
